parent_var,child_var,id,g9ot,gpa_o80,coll_enr,coll_enr2,coll_enr4,coll_enr_ont,coll_enr_frst,coll_enr_ftpt,coll_prst1,coll_prst2,coll_prst3,coll_comp4,coll_comp6,coll_comp8,coll_gpa_s1,coll_gpa_y1,hs_deg,de_ever
ethcat,Asian,1,0.6786677277414128,0.6494400959927589,0.6450580914970487,0.48548064925707884,0.6164965130854398,0.2774862328544259,0.4133561115711928,0.4784009564667941,0.7649075766094029,0.7585660885088146,0.7166337009985,0.9967445213114843,0.9325759680941701,0.6725631514564157,0.9061625200556591,0.5007425288204104,0.5766167616238818,0.10627965140156448
ethcat,Latinx/Hispanic,2,0.8744988625403494,0.8256036397069693,0.33294151863083243,0.3307450733147562,0.4763048063497991,0.761157862143591,0.27754813055507843,0.5798380409367383,0.7905552386073396,0.7824710425920784,0.984626296791248,0.5522372780833393,0.5625304504064843,0.8226464131148532,0.6721699760528281,0.7338381034787744,0.6042996164178476,0.41296096856240183
ethcat,Black,3,0.8503024613019079,0.5908136806683615,0.7827732811216266,0.29892962039448323,0.7582495508715512,0.6142909485381097,0.4908772525377572,0.5831573001574726,0.630297314375639,0.9149666205048561,0.9227749132551253,0.5347463719081134,0.6897086797980592,0.9618011070415378,0.9045880901394412,0.7535023026866838,0.858107554144226,0.38015062687918544
ethcat,White,4,0.6698903980432078,0.6768354735104367,0.784862900339067,0.5748872349038721,0.37131211115047336,0.26230422868393366,0.5652069617994131,0.7139552155043931,0.9095055350335315,0.7695843853289261,0.8744643777608871,0.5695048043271527,0.7443311999086291,0.7041462899651378,0.6260712872026488,0.9719415378058329,0.8235091707902029,0.2411984803620726
ethcat,Other,5,0.8746853461489081,0.7083799275569618,0.4525268766097725,0.40807910701259975,0.39128180993720896,0.3332870096433908,0.30691890404559674,0.5327314979862423,0.5848637275630608,0.8264555963687599,0.670850993017666,0.898466608254239,0.6719681539107114,0.5657995507353917,0.7223601167788729,0.8574244088958949,0.8505017273128033,0.18750031176023185
gencat,female,6,0.8498497873079032,0.8310736697167158,0.25733899557963014,0.2505068018101156,0.529046076303348,0.3042001585941762,0.7615617621690036,0.549239374930039,0.5558433302212507,0.5261544131208211,0.8600431984523311,0.9106873186537996,0.8551174293970689,0.9820653889328241,0.5117057550232857,0.7284984438447282,0.6039015804417431,0.3334708227775991
gencat,male,7,0.579987971461378,0.7111327922903001,0.5721850817091764,0.3370268374215812,0.6024301146622748,0.728723702672869,0.6020670523867011,0.2686158299911767,0.6774200142826885,0.888772644335404,0.5453805112047121,0.5669368954841048,0.5559645581524819,0.7303716706810519,0.7507796501740813,0.6589927129680291,0.6833442253991961,0.16221526626031846
gencat,non-binary (if applicable),8,0.9880870571359992,0.6223399337613955,0.2855070115067065,0.7496076009701937,0.29144009375013413,0.31727958847768606,0.26755089592188597,0.7734115738421679,0.6949214590713382,0.7738798266509548,0.9602841404266655,0.6544950044481084,0.8800813761772588,0.6453797779977322,0.660341720096767,0.8240315375151113,0.523931065807119,0.177536562201567
female,female,9,0.9986952127655968,0.5702182045206428,0.4706204297021032,0.7773381955455989,0.7744421337265521,0.7106010265182705,0.5420914672780783,0.31754807312972844,0.5973817562917247,0.5080823496682569,0.8830443231854588,0.5285728868329898,0.8161024026339874,0.7922621467150748,0.9800312169827521,0.7538521866081282,0.8754134150221944,0.32246971130371094
male,male,10,0.7740876799216494,0.5988872409798205,0.31748028309084475,0.26625424553640187,0.45060246121138336,0.27965973662212495,0.3759665780700744,0.6566513071302325,0.9335139028262347,0.7453015996143222,0.6954761329106987,0.6883281235350296,0.6261023656697944,0.7968540096189827,0.5060679790331051,0.8628375075059012,0.9843268748372793,0.4677651426754892
anyell0812,anyell0812,11,0.5635582359973341,0.543569780420512,0.38581807794980705,0.4592892591841519,0.6884929470717908,0.6825164296664299,0.24044055743142964,0.5555478081572802,0.9280119048198685,0.6655511922435835,0.634417183464393,0.7425669721560553,0.6892574356170371,0.827576638548635,0.7615475145867094,0.6305265951668844,0.615736942156218,0.481773569365032
